56266210	324
69693073	449
78776360	549
82018292	673
78938945	733
70123397	865
57374100	890
42858945	925
28721890	909
16927444	905
8532002	785
3786292	709
2186144	578
2731408	484
4218282	349
5639609	245
6269594	185
5952449	128
4794512	113
3257813	117
1829285	97
830746	85
437200	65
587012	34
1063621	13
1567624	5
1888129	18
1884020	68
1584130	148
1088090	250
579989	389
191945	538
31841	689
95236	765
308642	873
579681	901
777857	925
848905	900
791360	877
614132	848
407466	724
213485	610
93844	493
62189	400
103210	305
182069	205
264609	145
322205	100
334205	98
319537	122
271897	149
224725	169
186601	226
161921	233
150265	233
140324	229
124730	212
101032	185
72477	117
42865	73
19445	37
7400	26
7501	20
14810	34
26401	58
37633	104
42568	122
41225	125
36733	128
27297	106
18649	65
11565	37
7229	10
4772	2
4426	17
5445	58
6917	113
11777	218
20413	293
41201	349
81385	394
150093	442
267472	441
439688	442
669205	433
960692	445
1298754	464
1636000	520
1945705	545
2178945	578
2315716	613
2300202	676
2144873	626
1855129	605
1495429	549
1104281	477
727957	409
427354	296
203633	245
85381	197
48869	164
71321	169
121841	173
172933	185
199273	193
201424	173
185530	153
145949	136
106349	98
72085	65
44581	40
25601	17
15025	10
9389	8
6120	13
4825	20
6649	25
10909	32
19204	41
26605	34
31909	34
31025	29
15941465	289
18161384	500
18229261	685
15480229	953
10635661	1060
5407253	1108
1840689	1061
1385812	970
4205045	788
9111434	592
14070209	545
17126209	585
17208610	745
14431050	1025
10221489	1314
6327698	1600
4180685	1765
4304180	1810
6115600	1625
8358818	1321
9781949	985
9783236	596
8545698	338
6970237	128
5941332	73
5997025	100
6869512	196
7729525	298
7695973	338
6329938	346
4015681	290
1792548	218
798164	137
1634377	97
3955165	80
6450820	89
7596616	117
6463976	137
3442000	145
531325	125
760994	80
7097337	34
21058420	16
41814856	34
66019805	116
88683140	257
104481092	449
109643561	650
102959797	928
86134754	1160
63603026	1413
40447304	1553
21153458	1649
8529721	1565
2946241	1409
2787392	1193
5405629	901
8156705	562
9323818	290
8462545	90
6113000	5
3454496	34
1459906	130
673501	265
968929	346
1777597	405
2460265	401
2628245	317
2212090	241
1453250	208
742276	226
338792	340
328226	500
558952	769
808921	1000
874565	1229
712465	1412
409730	1490
128885	1394
38176	1325
173821	1154
469289	964
797417	765
981194	549
973600	388
761725	225
454085	116
180745	61
24820	25
16465	13
122305	13
271186	10
393805	5
459785	5
453985	5
409658	26
358612	61
313853	104
280100	185
244178	265
195337	325
133648	365
73525	356
26725	325
4250	260
5245	160
21386	98
35136	26
41428	0
37381	17
26269	61
16580	130
14642	173
16129	208
20441	193
23461	170
24089	97
23720	41
25925	4
28933	13
27781	65
23481	164
13634	274
12548	400
39617	521
119825	596
277352	634
512570	610
805892	656
1137781	634
1467080	676
1740749	666
1951540	738
2072594	776
2133602	802
2093312	793
1977266	745
1776314	637
1506740	569
1187856	450
831042	360
510626	242
241145	185
79108	130
22765	113
55777	104
140706	104
231669	100
283474	89
289210	109
256217	100
185522	104
117193	106
60938	113
24961	89
6697	73
965	36
2036	17
8989	2
22105	1
42786	17
65810	37
86858	65
93092	98
78853	97
50180	82
17361362	80
15846800	232
13137241	493
9957722	925
7101025	1348
5064821	1586
3976400	1690
3833813	1445
4564025	1000
6063985	521
8103437	250
10194418	293
11550500	692
11451665	1300
9846020	1906
7362442	2269
5373794	2225
5309704	1970
7723810	1448
11897396	981
15962490	584
17878409	353
16387949	261
11994133	261
6594916	245
2749529	193
2094509	125
4486381	109
8093105	178
10390433	250
9737954	356
6333065	365
2255650	305
81194	200
1363730	82
5443666	26
9742090	50
11245892	98
8614642	180
3570305	197
654785	185
5414546	98
21459769	29
48227042	2
80444164	72
109766321	250
127701845	538
129180929	900
114128704	1220
87400657	1530
57139402	1709
30790349	1810
13102097	1685
5036522	1481
4190209	1205
6659945	865
8961649	577
9245113	360
7530893	193
4982149	117
2834225	74
1814818	65
1788893	80
2196949	106
2439873	130
2225906	185
1698112	212
1169893	205
881161	181
855752	145
977300	145
1037906	234
957554	410
742856	738
517280	1160
348093	1588
274565	1993
247592	2249
217522	2290
205857	2138
227464	1850
331937	1525
525050	1073
708922	650
805076	333
725861	128
502937	26
237177	13
44644	65
6749	137
125645	194
326962	193
514090	178
627421	157
630440	169
568490	212
485473	325
405577	477
326345	593
237010	666
135841	677
47701	585
3185	461
17425	290
74033	149
141293	29
173225	1
147137	26
93274	98
41346	137
36788	148
83745	136
166352	100
234693	58
272644	29
274865	25
256520	41
234625	58
220042	50
194242	36
149125	17
96808	41
78248	106
134186	205
297305	377
539545	514
799850	657
980100	754
1022113	802
959225	890
880645	884
913538	986
1162165	970
1619172	953
2197226	949
2680218	866
2904010	725
2757077	586
2279348	461
1605236	365
900250	281
368469	202
66050	169
7380	122
104085	113
247105	109
353800	104
377689	113
319369	106
225145	104
132210	100
57517	85
19408	90
6197	100
7605	113
13480	90
20089	64
29033	34
37330	10
45445	10
54185	34
57325	81
55805	125
45305	149
26570	125
9797	85
21942560	314
14504212	400
7823140	466
5161789	584
6457960	754
8793396	1058
8976442	1285
6302293	1433
2891088	1312
2034185	985
5472772	530
11866509	245
17696897	328
19740337	850
17438248	1717
12890777	2512
9376450	2920
8933693	2797
10973005	2152
13221506	1313
13522372	512
11537730	145
8538970	121
6372389	293
5779844	457
6190769	445
6435905	290
5854810	106
4886698	40
4359060	145
4512665	340
4646977	505
3841605	544
2079124	404
713609	194
1394402	32
4472450	9
8026353	97
8966824	221
5852914	305
1254634	281
1993554	181
15636130	50
45461741	2
86912765	74
127952114	274
154062845	585
155413690	900
131644570	1220
91966157	1530
51060725	1640
20960125	1737
6658004	1690
5304433	1521
9511840	1301
12400705	1000
11070340	733
6870890	405
3070345	181
1911106	50
3188693	26
4987161	82
5354245	178
3850621	233
1643938	250
300170	200
608525	153
2018704	74
3252429	34
3284738	16
2172820	18
748421	40
23752	130
328960	362
1206333	745
1854217	1285
1754226	1853
1030514	2441
298792	2861
136564	3005
671905	2837
1502516	2509
2092037	1921
2036330	1306
1444680	772
672365	365
140138	193
20794	242
202900	386
437121	541
537921	657
472369	697
307940	676
167149	625
89777	625
84393	730
120833	841
172013	1024
232352	1066
277650	936
285962	746
231844	482
137257	197
44200	52
3985	1
30740	40
96077	113
138025	148
131170	116
78425	61
32162	13
35122	10
98005	68
185120	153
259172	221
292889	221
298013	153
285865	72
277330	10
253705	13
202865	85
135874	200
97325	281
139801	370
301274	377
558617	410
846436	416
1059769	466
1125477	549
1068296	610
957780	754
923717	882
1080580	1010
1461245	1145
2010749	1160
2546090	1060
2892308	865
2883905	685
2498420	449
1836617	290
1062269	194
433405	130
69845	136
11290	122
158413	136
354185	146
478465	148
465617	145
343709	137
194276	100
79669	68
19240	50
10834	82
23461	116
35186	145
35725	169
30665	104
25405	61
18824	29
15317	37
20749	80
33490	148
53140	181
65700	160
58321	101
34493	45
20758258	292
16418384	442
10908949	509
6764290	650
5276969	785
5842145	1013
6642074	1250
6267365	1360
4749097	1305
3597700	962
4597416	569
8184553	274
12838337	325
15958881	788
15958196	1636
13334225	2425
10697128	2837
10770282	2725
13980361	2132
18105778	1345
19614472	613
16645978	162
10400737	82
4606682	229
2565749	404
4784072	481
8581554	365
10393160	170
8668138	41
4906778	82
2078765	257
1906402	481
3401505	617
4143409	509
2972500	325
1214914	100
1486405	10
4524257	101
7703901	306
7277841	481
2812100	509
517985	340
10953265	170
41845840	49
90637585	145
142536420	458
176789762	962
178186849	1370
146048962	1690
94463186	1781
45055746	1625
13797250	1394
4403530	1089
8953025	1000
15425194	949
15974969	1000
10388530	986
3812000	810
1100258	485
3085480	197
6694090	17
8274661	80
6441097	325
2873600	578
362365	666
379341	577
2220109	365
3940285	144
4106485	58
2709953	34
981370	41
62401	16
285514	16
1068160	185
1609945	629
1493449	1405
909460	2450
293114	3501
6857	4010
125749	4205
495028	3860
897898	3061
1181000	2117
1205122	1226
984337	586
588034	232
207316	178
12170	265
51629	421
236525	485
412625	485
466468	409
381457	346
252085	293
139738	265
99977	324
119821	421
173797	592
250757	745
315250	845
332456	800
266053	685
145529	450
42632	193
30193	50
115362	20
229849	125
270725	225
224680	289
133792	221
104373	101
